# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Portuguese dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/portuguese/brazil_mfa/portuguese_brazil_mfa.dict, dictionary/portuguese/portugal_mfa/portuguese_portugal_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
abençoara	portugal	ɐ β ẽ s w a ɾ ɐ
abençoaram	portugal	ɐ β ẽ s w a ɾ ɐ̃ w̃
abençoarei	portugal	ɐ β ẽ s w a ʁ e j
abençoarem	portugal	ɐ β ẽ s w a ɾ ɐ̃ j̃
abençoará	portugal	ɐ β ẽ s w ɐ ɾ a
abençoarão	portugal	ɐ β ẽ s w ɐ ɾ ɐ̃ w̃
abençoava	portugal	ɐ β ẽ s w a v ɐ
abençoavam	portugal	ɐ β ẽ s w a v ɐ̃ w̃
abençoe	brazil	a b ẽ s o i
abençoe	portugal	ɐ β ẽ s w i
abençoei	portugal	ɐ β ẽ s w e j
abençoou	brazil	a b ẽ s o o w
abençoou	portugal	ɐ β ẽ s w o w
abençoá	portugal	ɐ β ẽ s w a
abençôe	portugal	ɐ β ẽ s o i
abençôo	portugal	ɐ β ẽ s o
aber	brazil	a b e x
aber	portugal	ɐ β e ɾ
aberrado	portugal	ɐ b ɨ ʁ a ð u
aberratórias	portugal	ɐ β ɛ ʁ ɐ t ɔ ɾ j ɐ ʃ
aberração	portugal	ɐ β ɛ ʁ ɐ s ɐ̃ w̃
aberrações	portugal	ɐ β ɛ ʁ ɐ s õ j̃ ʃ
aberta	brazil	a b ɛ x t ɐ
aberta	portugal	ɐ β ɛ ɾ t ɐ
abertamente	brazil	a b ɛ x t ɐ m ẽ tʃ i
abertamente	portugal	ɐ β ɛ ɾ t ɐ m ẽ t ɨ
abertas	brazil	a b ɛ x t ɐ s
abertas	portugal	ɐ β ɛ ɾ t ɐ ʃ
aberto	brazil	a b ɛ x t u
aberto	portugal	ɐ b ɛ ɾ t u
abertos	brazil	a b ɛ x t u s
abertos	portugal	ɐ β ɛ ɾ t u ʃ
abertura	brazil	a b ɛ x t u ɾ a
abertura	portugal	ɐ β ɨ ɾ t u ɾ ɐ
aberturas	portugal	ɐ β ɨ ɾ t u ɾ ɐ ʃ
abes	brazil	a b i s
abespinhado	portugal	ɐ β ʃ p i ɲ a ð u
abeto	brazil	a b ɛ t o
abeto	brazil	a b ɛ t u
abeto	portugal	ɐ β ɛ t u
abfolto	portugal	ɐ b f o l t u
abfolvição	portugal	ɐ b f ɔ l v i s ɐ̃ w̃
abhishek	brazil	a b i ʃ ɛ k
abhishek	portugal	ɐ b i ʃ i k
abib	brazil	a b i b
abib	portugal	ɐ β i b
abicar	portugal	ɐ β i k a ɾ
abidarma	portugal	ɐ β i ð a ɾ m ɐ
abifa	brazil	a b i f ɐ
abifa	portugal	ɐ β i f ɐ
abifer	brazil	a b i f e x
abifer	portugal	a b i f ɨ ɾ
abilio	portugal	a b i l j u
abimeleque	portugal	ɐ β i m ɨ l ɛ k ɨ
abinee	brazil	a b i n e
abinee	portugal	ɐ β i n e i
abiogênese	brazil	a b i o ʒ e n e z i
abiogênese	portugal	ɐ β i u ʒ e n ɛ z i
abismada	portugal	ɐ β i ʒ m a ð ɐ
abismado	portugal	ɐ β i ʒ m a ð u
abismadora	portugal	ɐ β i ʒ m ɐ ð o ɾ ɐ
abismados	portugal	ɐ β i ʒ m a ð u ʃ
abismal	portugal	ɐ β i ʒ m a l
abismam	portugal	ɐ β i ʒ m ɐ̃ w̃
abismar	portugal	ɐ β i ʒ m a ɾ
abismava	portugal	ɐ β i ʒ m a v ɐ
abismo	portugal	ɐ β i ʒ m u
abismos	portugal	ɐ β i ʒ m u ʃ
abismou	portugal	ɐ β i ʒ m o w
abissal	brazil	a b i s a w
abissal	portugal	ɐ β i s a l
abissínios	portugal	ɐ β i s i n j u ʃ
abiu	brazil	a b i w
abiífo	portugal	ɐ β i i f u
abióticas	portugal	a b i ɔ tʃ i k ɐ ʃ
abjecta	portugal	ɐ b ʒ ɛ k t ɐ
abjecto	portugal	ɐ b ʒ ɛ k t u
abjectos	portugal	ɐ b ʒ ɛ k t u ʃ
abjecção	portugal	ɐ b ʒ ɛ k s ɐ̃ w̃
abjedo	portugal	ɐ b ʒ ɛ ð u
abjefto	portugal	ɐ b ʒ ɛ f t u
abjeta	portugal	ɐ b ʒ ɛ t ɐ
abjetamente	portugal	ɐ b ʒ ɛ t ɐ m ẽ t ɨ
abjeto	portugal	ɐ b ʒ ɛ t u
abjeâo	portugal	ɐ b ʒ ɛ u
abjeção	portugal	ɐ b ʒ ɛ s ɐ̃ w̃
abjeções	portugal	ɐ b ʒ ɛ s õ j̃ ʃ
ablaqueados	portugal	ɐ b l a k j a ð u ʃ
ablativo	brazil	a b l a tʃ i v u
ablegadas	portugal	ɐ β l ɨ ɣ a ð ɐ ʃ
ablução	portugal	ɐ b l u s ɐ̃ w̃
abluções	portugal	ɐ b l u s õ j̃ ʃ
abnegada	portugal	ɐ b n ɨ ɣ a ð ɐ
abnegadas	portugal	ɐ b n ɨ ɣ a ð ɐ ʃ
abnegado	portugal	ɐ b n ɨ ɣ a ð u
abnegados	portugal	ɐ b n ɨ ɣ a ð u ʃ
abnegar	portugal	ɐ b n ɨ ɡ a ɾ
abnegação	portugal	ɐ b n ɨ ɡ ɐ s ɐ̃ w̃
abnegações	portugal	ɐ b n ɨ ɡ ɐ s õ j̃ ʃ
abner	brazil	a b i n e x
abner	portugal	ɐ b n e ɾ
abnt	brazil	a b tʃ
abnt	portugal	ɐ b tʃ i
abnótico	portugal	ɐ b ɔ t i k u
abo	portugal	ɐ β u
abobada	portugal	ɐ β u β ɐ ð ɐ
abobadada	portugal	ɐ β u β ɐ ð a ð ɐ
abobadadas	portugal	ɐ β u β ɐ ð a ð ɐ ʃ
abobadado	portugal	ɐ β u β ɐ ð a ð u
abobadar	portugal	ɐ β u β ɐ ð a ɾ
